allele,anchor,n_raw,n_phase1,n_phase2,kl_raw,kl_phase1,kl_phase2,kl_reduction_pct
HLAA66030101,anchor1_P2,4,4,4,2.3025,2.3025,2.3025,0.0
HLAA6805,anchor1_P2,2,2,2,2.3025,2.3025,2.3025,0.0
HLAB15302,anchor1_P2,3,3,2,2.3591,2.3591,2.3025,2.4
HLAB1537,anchor1_P2,3,3,2,2.3591,2.3591,2.3025,2.4
HLAB15730102,anchor1_P2,3,3,2,2.3591,2.3591,2.3025,2.4
HLAB180701,anchor1_P2,4,4,2,1.9559,1.9559,2.3025,-17.72
HLAB1825,anchor1_P2,3,3,2,2.3591,2.3591,2.3025,2.4
HLAB35149,anchor1_P2,3,3,2,2.3591,2.3591,2.3025,2.4
HLAB3908,anchor1_P2,5,5,4,2.3227,2.3227,2.3025,0.87
HLAB4506,anchor1_P2,4,4,2,1.9559,1.9559,2.3025,-17.72
HLAB5005,anchor1_P2,3,3,2,1.897,1.897,2.3025,-21.37
HLAC0409,anchor1_P2,3,3,2,2.3591,2.3591,2.3025,2.4
HLAC18010101,anchor1_P2,2,2,2,2.3025,2.3025,2.3025,0.0
HLAE0103,anchor1_P2,5,5,4,2.3227,2.3227,2.3025,0.87
PATRB0401,anchor1_P2,2,2,2,2.3025,2.3025,2.3025,0.0
PATRC06010101,anchor1_P2,2,2,2,2.3025,2.3025,2.3025,0.0
SLA11402,anchor1_P2,3,3,2,2.3591,2.3591,2.3025,2.4
HLAB51020101,anchor1_P2,27,27,18,2.2683,2.2683,2.2659,0.11
HLAB072201,anchor1_P2,17,17,11,2.2427,2.2427,2.1357,4.77
HLAB3506,anchor1_P2,7,7,5,1.842,1.842,2.0454,-11.05
HLAA022401,anchor1_P2,5,5,4,2.0454,2.0454,1.9559,4.37
HLAB35134,anchor1_P2,11,11,4,1.8748,1.8748,1.9559,-4.33
HLAB4805,anchor1_P2,5,5,4,2.0454,2.0454,1.9559,4.37
HLAC1212,anchor1_P2,5,5,4,2.0454,2.0454,1.9559,4.37
HLAA24170101,anchor1_P2,11,11,7,2.0008,2.0008,1.9167,4.2
HLAA2614,anchor1_P2,3,3,3,1.897,1.897,1.897,0.0
HLAA3603,anchor1_P2,4,4,3,1.9559,1.9559,1.897,3.01
HLAA68080101,anchor1_P2,6,6,3,1.666,1.666,1.897,-13.87
HLAA7411,anchor1_P2,4,4,3,1.6094,1.6094,1.897,-17.87
HLAB15040101,anchor1_P2,7,7,3,1.7187,1.7187,1.897,-10.38
HLAB15211,anchor1_P2,4,4,3,1.6094,1.6094,1.897,-17.87
PATRB03020101,anchor1_P2,4,4,3,1.9559,1.9559,1.897,3.01
HLAC08040101,anchor1_P2,60,60,14,1.5451,1.5451,1.8247,-18.09
HLAA2305,anchor1_P2,41,41,18,1.6076,1.6076,1.7367,-8.03
HLAA6806,anchor1_P2,12,12,7,1.4561,1.4561,1.7187,-18.04
HLAA7409,anchor1_P2,11,11,7,1.629,1.629,1.7187,-5.5
HLAA0250,anchor1_P2,85,85,35,1.5161,1.5161,1.6725,-10.31
HLAA681202,anchor1_P2,7,7,4,1.4459,1.4459,1.6094,-11.31
HLAB39310101,anchor1_P2,12,12,8,1.4786,1.4786,1.6094,-8.85
HLAB40120,anchor1_P2,4,4,4,1.6094,1.6094,1.6094,0.0
HLAC0381,anchor1_P2,7,7,4,1.4459,1.4459,1.6094,-11.31
HLAB39060101,anchor1_P2,3614,1000,63,1.4919,1.5342,1.6069,-4.74
HLAB15273,anchor1_P2,21,21,12,1.3347,1.3347,1.5222,-14.05
BOLA300101,anchor1_P2,9,9,7,1.4146,1.4146,1.5206,-7.49
HLAB39020101,anchor1_P2,27,27,19,1.4984,1.4984,1.506,-0.5
MAMUB03901,anchor1_P2,241,241,75,1.4214,1.4214,1.4602,-2.73
HLAA2304,anchor1_P2,17,17,11,1.498,1.498,1.4554,2.85
BOLA200801,anchor1_P2,12,12,11,1.4503,1.4503,1.4491,0.08
SLA21104,anchor1_P2,16,16,11,1.4307,1.4307,1.4491,-1.29
HLAC16020101,anchor1_P2,22,22,10,1.4337,1.4337,1.4386,-0.34
HLAB570401,anchor1_P2,30,30,15,1.3324,1.3324,1.356,-1.77
DLA8803401,anchor1_P2,316,316,79,1.3696,1.3696,1.347,1.65
HLAA0319,anchor1_P2,14,14,8,1.2659,1.2659,1.2628,0.24
HLAC050901,anchor1_P2,12,12,8,1.2912,1.2912,1.2628,2.19
HLAA3014,anchor1_P2,12,12,6,0.9729,0.9729,1.2039,-23.75
